sentence,full_audio_path,no_tone
Ó ti pé ọgọ́rùn-ún ọjọ́ tí ìjọba ti f'òfin de wá.,/content/drive/MyDrive/clips/common_voice_yo_36526475.mp3,O ti pe ogorun-un ojo ti ijoba ti f'ofin de wa.
Gómìnà obìnrin ẹyọ kan péré la ti ní ní ìpínlẹ̀ Ayédé,/content/drive/MyDrive/clips/common_voice_yo_37008267.mp3,Gomina obinrin eyo kan pere la ti ni ni ipinle Ayede
Inú àbótí ńlá ni Àjàní kó gbogbo àwọn aṣọ rẹ̀ sí.,/content/drive/MyDrive/clips/common_voice_yo_37008269.mp3,Inu aboti nla ni Ajani ko gbogbo awon aso re si.
Kò sí ìwé ẹ̀rí fun olùdíje tí àwọn ẹgbẹ́ onígbàálẹ̀ fà kalẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36523681.mp3,Ko si iwe eri fun oludije ti awon egbe onigbaale fa kale.
Àmọ̀tẹ́kùn ti gba àṣẹ ìdáábòbò lọ́wọ́ ìjọba.,/content/drive/MyDrive/clips/common_voice_yo_36523682.mp3,Amotekun ti gba ase idaabobo lowo ijoba.
Ọ̀gá ni Bọ́lá jẹ́ fún Bọ̀dé lágbo òṣèlú.,/content/drive/MyDrive/clips/common_voice_yo_36526048.mp3,Oga ni Bola je fun Bode lagbo oselu.
Àsìkò àjàkálẹ̀ ààrùn yìí jẹ́ kí n di télọ̀ tó mọṣẹ́ gidi.,/content/drive/MyDrive/clips/common_voice_yo_36526051.mp3,Asiko ajakale aarun yii je ki n di telo to mose gidi.
Ó ṣeé ṣe kí ọdún wáyé lábẹ́ àwọn òfin tuntun nípa arùn àjàkáyé,/content/drive/MyDrive/clips/common_voice_yo_37010795.mp3,O see se ki odun waye labe awon ofin tuntun nipa arun ajakaye
Ọmọ àlè ti fi ilé jóná báyìí nílùú Ìbàdàn.,/content/drive/MyDrive/clips/common_voice_yo_37010796.mp3,Omo ale ti fi ile jona bayii niluu Ibadan.
Àrẹ̀mú faraya lórí báwọn jàǹdùkú ṣe ń borí ọmọogun wa.,/content/drive/MyDrive/clips/common_voice_yo_36881776.mp3,Aremu faraya lori bawon janduku se n bori omoogun wa.
Ọ̀daràn mẹ́jọ ni wón mú ní ìlú Èrúwà lánàá.,/content/drive/MyDrive/clips/common_voice_yo_36881778.mp3,Odaran mejo ni won mu ni ilu Eruwa lanaa.
Lọ sí ilé Délé Gíwá láti wo àwọn akẹ́kọ̀ọ́ tó ń gbé ibẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36980440.mp3,Lo si ile Dele Giwa lati wo awon akekoo to n gbe ibe.
Àjọ elétò ìlera ti ní íjọba ti ra àwọn ohun ìgbógun ti ààrùn.,/content/drive/MyDrive/clips/common_voice_yo_36980441.mp3,Ajo eleto ilera ti ni ijoba ti ra awon ohun igbogun ti aarun.
Omi gbé arákùnrin ẹni ọdún mẹ́tàlá kan lọ ní Ìbàdàn,/content/drive/MyDrive/clips/common_voice_yo_36980444.mp3,Omi gbe arakunrin eni odun metala kan lo ni Ibadan
Àdúrà ò ní padà gbà mọ́ nígbà tí àbòsí bá ti pọ̀ jù.,/content/drive/MyDrive/clips/common_voice_yo_37376114.mp3,Adura o ni pada gba mo nigba ti abosi ba ti po ju.
Wo ohun tí òṣìṣẹ́ yìí ṣe tí ọ̀gá rẹ̀ fi fún ní ẹ̀bùn owó.,/content/drive/MyDrive/clips/common_voice_yo_37376115.mp3,Wo ohun ti osise yii se ti oga re fi fun ni ebun owo.
Agbẹjọ́rò ẹbí olóògbé Láwuyì ti yá owó ńlá kan ní báǹkì,/content/drive/MyDrive/clips/common_voice_yo_37376117.mp3,Agbejoro ebi oloogbe Lawuyi ti ya owo nla kan ni banki
Arákùnrin tí àwọn ọlọ́pàá mú ní òun kìí ṣe olè.,/content/drive/MyDrive/clips/common_voice_yo_37007076.mp3,Arakunrin ti awon olopaa mu ni oun kii se ole.
Àwọn Dókítà kan ti da iṣẹ́ sílẹ̀ nítorí àti gba owó lọ́wọ́ ìjọba,/content/drive/MyDrive/clips/common_voice_yo_37007078.mp3,Awon Dokita kan ti da ise sile nitori ati gba owo lowo ijoba
Tírélà agbépo ṣekúpa ọmọ ọdún méjì àti àwọn mẹ́ta míì,/content/drive/MyDrive/clips/common_voice_yo_37007079.mp3,Tirela agbepo sekupa omo odun meji ati awon meta mii
Àwọn Fúlàní ya bo ilé ìtura àwọn akẹ́kọ̀ọ́ wa,/content/drive/MyDrive/clips/common_voice_yo_36731019.mp3,Awon Fulani ya bo ile itura awon akekoo wa
Wọ́n fi Ṣàǹgó búra fún ààrẹ Nàìjíríà tuntun.,/content/drive/MyDrive/clips/common_voice_yo_36731020.mp3,Won fi Sango bura fun aare Naijiria tuntun.
Wọ́n ti rán Adéṣọlá lọ ésí ẹ̀wọ̀n ọdún méjìlélọ́gbọ̀n,/content/drive/MyDrive/clips/common_voice_yo_36731021.mp3,Won ti ran Adesola lo esi ewon odun mejilelogbon
